,Country,CO2 Emissions tons in 2016,Per capita,Share of world
0,China,10432751400,7.44,29.18
1,United States,5011686600,15.32,14.02
2,India,2533638100,1.89,7.09
3,Russia,1661899300,11.45,4.65
4,Japan,1239592060,9.76,3.47
5,Germany,775752190,9.42,2.17
6,Canada,675918610,18.72,1.89
7,Iran,642560030,7.71,1.8
8,South Korea,604043830,11.77,1.69
9,Indonesia,530035650,2.02,1.48
10,Saudi Arabia,517079407,15.47,1.45
11,Brazil,462994920,2.24,1.29
12,Mexico,441412750,3.63,1.23
13,Australia,414988700,17.15,1.16
14,South Africa,390557850,6.92,1.09
15,Turkey,368122740,4.54,1.03
16,United Kingdom,367860350,5.6,1.03
17,Italy,358139550,5.96,1.0
18,France,331533320,5.18,0.93
19,Poland,296659670,7.7,0.83
20,Taiwan,276724868,11.73,0.77
21,Thailand,271040160,3.84,0.76
22,Malaysia,266251542,8.45,0.74
23,Spain,251892320,5.42,0.7
24,Ukraine,233220080,5.2,0.65
25,Kazakhstan,231919540,12.83,0.65
26,Egypt,219377350,2.2,0.61
27,United Arab Emirates,218788684,24.33,0.61
28,Vietnam,206042140,2.21,0.58
29,Argentina,200708270,4.6,0.56
30,Pakistan,178013820,0.83,0.5
31,Venezuela,175884256,5.72,0.49
32,Netherlands,163419285,9.54,0.46
33,Iraq,162646160,4.2,0.45
34,Algeria,156220560,3.87,0.44
35,Philippines,126922662,1.21,0.35
36,Czech Republic (Czechia),111825428,10.62,0.31
37,Uzbekistan,109347340,3.48,0.31
38,Kuwait,101492225,25.07,0.28
39,Qatar,98990085,38.14,0.28
40,Belgium,94722813,8.37,0.26
41,Oman,87835773,19.97,0.25
42,Nigeria,82634214,0.44,0.23
43,Chile,81258525,4.49,0.23
44,Turkmenistan,79279216,13.51,0.22
45,Romania,78770824,3.98,0.22
46,Colombia,77667594,1.63,0.22
47,Bangladesh,74476230,0.47,0.21
48,Austria,73764112,8.44,0.21
49,Greece,67840662,6.31,0.19
50,Israel,65201588,7.99,0.18
51,Belarus,62655669,6.45,0.18
52,North Korea,58708734,2.31,0.16
53,Morocco,57694464,1.64,0.16
54,Peru,57692879,1.85,0.16
55,Libya,52696075,8.39,0.15
56,Finland,51183960,9.31,0.14
57,Hungary,51018899,5.2,0.14
58,Bulgaria,50872910,7.02,0.14
59,Portugal,50142844,4.85,0.14
60,Singapore,48381759,8.47,0.14
61,Hong Kong,47066386,6.33,0.13
62,Sweden,44694415,4.49,0.13
63,Norway,43456012,8.3,0.12
64,Serbia,41168059,5.49,0.12
65,Ecuador,40065690,2.44,0.11
66,Switzerland,39666930,4.74,0.11
67,Ireland,39086565,8.29,0.11
68,Syria,38054696,2.01,0.11
69,Denmark,38007645,6.66,0.11
70,Slovakia,36817242,6.78,0.1
71,Trinidad and Tobago,34974263,23.8,0.1
72,Azerbaijan,33614235,3.37,0.09
73,New Zealand,33276202,7.13,0.09
74,Angola,30566933,1.05,0.09
75,Cuba,30389116,2.68,0.08
76,Tunisia,29395965,2.52,0.08
77,Bosnia and Herzegovina,25674120,7.38,0.07
78,Yemen,25647990,0.88,0.07
79,Bahrain,24458384,17.35,0.07
80,Dominican Republic,23466740,2.23,0.07
81,Jordan,22772370,2.29,0.06
82,Estonia,22402414,17.02,0.06
83,Lebanon,21863288,3.49,0.06
84,Bolivia,19463728,1.73,0.05
85,Croatia,19408194,4.6,0.05
86,Mongolia,18574260,6.13,0.05
87,Guatemala,18539316,1.14,0.05
88,Sri Lanka,18454691,0.86,0.05
89,Myanmar,16701776,0.32,0.05
90,Kenya,16334919,0.34,0.05
91,Montenegro,16249039,25.66,0.05
92,Slovenia,14722601,7.04,0.04
93,Ghana,14469986,0.49,0.04
94,Lithuania,13685264,4.66,0.04
95,Sudan,13294106,0.34,0.04
96,Panama,11599764,2.88,0.03
97,Ethiopia,10438855,0.1,0.03
98,Luxembourg,10144632,17.39,0.03
99,Zimbabwe,10062628,0.7,0.03
100,Côte d'Ivoire,10056492,0.42,0.03
101,Afghanistan,9900004,0.29,0.03
102,Tanzania,9731560,0.18,0.03
103,Cameroon,9454331,0.4,0.03
104,Honduras,9320279,0.99,0.03
105,Papua New Guinea,9086988,1.02,0.03
106,Jamaica,8946575,3.19,0.03
107,North Macedonia,8896732,4.22,0.02
108,Georgia,8610414,2.28,0.02
109,Costa Rica,8328890,1.68,0.02
110,Moldova,8258774,2.56,0.02
