,#,Country,Energy Consumption BTU,World Share,Per capita Yearly BTU
0,1,China,138689472800000,23.8,98342
1,2,United States,97661161460000,16.8,296130
2,3,Russia,32832743720000,5.6,225728
3,4,India,30476788610000,5.2,22505
4,5,Japan,19402928820000,3.3,153186
5,6,Canada,15062124200000,2.6,412047
6,7,Germany,14062539590000,2.4,170198
7,8,South Korea,12659085870000,2.2,245752
8,9,Brazil,12566399560000,2.2,60269
9,10,Iran,11599267500000,2.0,137261
10,11,Saudi Arabia,10997456810000,1.9,321628
11,12,France,10241662730000,1.8,159667
12,13,United Kingdom,8190849783000,1.40647,123982
13,14,Mexico,7868848622000,1.35118,64058
14,15,Indonesia,7158688937000,1.22924,27065
15,16,Italy,6771608308000,1.16277,112853
16,17,Turkey,6432497777000,1.10454,78359
17,18,Australia,6127579421000,1.05218,249187
18,19,Spain,5726408206000,0.9833,122926
19,20,South Africa,5672958314000,0.97412,100156
20,21,Thailand,5519011566000,0.94769,77844
21,22,Taiwan,4672849385000,0.80239,197458
22,23,United Arab Emirates,4667004234000,0.80138,514651
23,24,Poland,4334474486000,0.74429,112488
24,25,Egypt,4012356526000,0.68897,39418
25,26,Netherlands,3938132686000,0.67623,228865
26,27,Argentina,3867523595000,0.6641,87789
27,28,Ukraine,3632194307000,0.62369,81335
28,29,Singapore,3630377394000,0.62338,629783
29,30,Kazakhstan,3574850089000,0.61385,195189
30,31,Malaysia,3515197470000,0.6036,109933
31,32,Vietnam,3242513713000,0.55678,34483
32,33,Pakistan,3183442105000,0.54664,14712
33,34,Belgium,2684685429000,0.461,235820
34,35,Venezuela,2492568948000,0.42801,81554
35,36,Algeria,2398447784000,0.41184,58305
36,37,Sweden,2218710262000,0.38098,220587
37,38,Qatar,2159502542000,0.37081,796349
38,39,Norway,1901374555000,0.32649,360287
39,40,Iraq,1865888786000,0.3204,47093
40,41,Philippines,1832128988000,0.3146,17165
41,42,Uzbekistan,1798254680000,0.30878,56291
42,43,Czech Republic (Czechia),1751291794000,0.30072,166294
43,44,Turkmenistan,1747505385000,0.30007,292794
44,45,Colombia,1660776722000,0.28518,34348
45,46,Kuwait,1591008895000,0.2732,385708
46,47,Nigeria,1540259766000,0.26448,7960
47,48,Austria,1501633374000,0.25785,170689
48,49,Chile,1496140520000,0.25691,81451
49,50,Bangladesh,1417359711000,0.24338,8760
50,51,Romania,1411400168000,0.24236,71649
51,52,Hong Kong,1322087609000,0.22702,177187
52,53,Finland,1227851414000,0.21084,222916
53,54,Switzerland,1171749700000,0.2012,138641
54,55,Greece,1161715086000,0.19948,108650
55,56,Oman,1140750863000,0.19588,251164
56,57,Peru,1118522631000,0.19206,35390
57,58,Portugal,1077120037000,0.18496,104498
58,59,Israel,1054812660000,0.18112,126944
59,60,Hungary,1042247455000,0.17897,106472
60,61,Belarus,961313106000,0.1651,99024
61,62,Trinidad and Tobago,903828800000,0.1552,611270
62,63,New Zealand,902498142000,0.155,190150
63,64,Morocco,819433637000,0.1407,23064
64,65,Bulgaria,774428141000,0.133,107823
65,66,Denmark,737324404000,0.1266,128515
66,67,Slovakia,726428917000,0.1247,133549
67,68,Bahrain,719864742000,0.1236,494130
68,69,Ecuador,714684386000,0.1227,42803
69,70,Serbia,642180713000,0.1103,86027
70,71,Ireland,638610418000,0.1097,133829
71,72,Azerbaijan,594082525000,0.102,58986
72,73,Libya,571901291000,0.0982,89664
73,74,Myanmar,518785351000,0.0891,9922
74,75,Paraguay,518686518000,0.0891,81613
75,76,Panama,439309187000,0.0754,107252
76,77,Jordan,431068663000,0.074,42198
77,78,Tunisia,408467388000,0.0701,34582
78,79,Laos,405305758000,0.0696,57918
79,80,Cuba,401492995000,0.0689,35416
80,81,Syria,394608300000,0.0678,20787
81,82,Sri Lanka,383419865000,0.0658,17828
82,83,Lebanon,375787371000,0.0645,61511
83,84,Sudan,368304194000,0.0632,9054
84,85,Angola,362803130000,0.0623,12010
85,86,Croatia,350684597000,0.0602,83646
86,87,Bolivia,343353846000,0.059,30025
87,88,Dominican Republic,340462946000,0.0585,31977
88,89,North Korea,330338632000,0.0567,12946
89,90,Ethiopia,323534822000,0.0556,2990
90,91,Kenya,322257801000,0.0553,6584
91,92,Guatemala,316468042000,0.0543,19089
92,93,Mozambique,287958923000,0.0494,10079
93,94,Tanzania,287390572000,0.0493,5108
94,95,Slovenia,283912879000,0.0488,135300
95,96,Ghana,273724117000,0.047,9057
96,97,Puerto Rico,264498327000,0.0454,78570
97,98,Bosnia and Herzegovina,251753830000,0.0432,73184
98,99,Georgia,246271262000,0.0423,65291
99,100,Kyrgyzstan,241995314000,0.0416,39534
100,101,Tajikistan,225261633000,0.0387,25238
101,102,Iceland,221449492000,0.038,644438
102,103,Uruguay,219406294000,0.0377,64113
103,104,Mongolia,215493720000,0.037,69603
104,105,Costa Rica,214062173000,0.0368,42865
105,106,Gibraltar,192833000000,0.0331,5914760
106,107,Latvia,187516006000,0.0322,95923
107,108,Luxembourg,183445565000,0.0315,307648
108,109,Côte d'Ivoire,178773633000,0.0307,7195
109,110,Zambia,177977721000,0.0306,10289
110,111,Brunei ,176864953000,0.0304,411050
111,112,Honduras,171400051000,0.0294,17804
112,113,Cambodia,168697663000,0.029,10656
113,114,Nepal,161222108000,0.0277,5720
114,115,Zimbabwe,158453760000,0.0272,10742
115,116,Lithuania,150839505000,0.0259,51934
116,117,Armenia,148536904000,0.0255,52083
117,118,Cameroon,147800591000,0.0254,6059
118,119,Afghanistan,144694375000,0.0248,4059
119,120,Yemen,138496775000,0.0238,4611
120,121,El Salvador,132276983000,0.0227,21108
121,122,DR Congo,132065701000,0.0227,1567
122,123,Senegal,130707004000,0.0224,8623
