,#,Country,Undernourished  People,Percent of Population,Population in 2018
0,1,India,194400000,14.2,1369003306
1,2,China,121400000,8.57,1417069468
2,3,Pakistan,40000000,18.2,219731479
3,4,Nigeria,25600000,12.9,198387623
4,5,Bangladesh,24200000,14.78,163683958
5,6,Indonesia,22000000,8.24,267066843
6,7,Ethiopia,21600000,19.44,111129438
7,8,Uganda,17600000,42.39,41515395
8,9,Tanzania,17600000,30.3,58090443
9,10,Kenya,14600000,29.23,49953304
10,11,Philippines,13900000,12.8,108568836
11,12,North Korea,12200000,47.59,25638149
12,13,Madagascar,11400000,42.46,26846541
13,14,Iraq,11100000,27.35,40590700
14,15,Yemen,11000000,35.73,30790513
15,16,Afghanistan,10600000,28.89,36686784
16,17,Vietnam,8800000,9.27,94914330
17,18,Zimbabwe,8500000,56.47,15052184
18,19,Mozambique,8300000,28.21,29423878
19,20,Sudan,8200000,19.52,41999059
20,21,Zambia,8000000,44.85,17835893
21,22,Angola,7400000,23.66,31273533
22,23,Venezuela,6800000,22.8,29825653
23,24,Myanmar,5700000,10.82,52666014
24,25,Chad,5600000,35.89,15604210
25,26,Haiti,5400000,49.04,11012421
26,27,Thailand,5400000,7.59,71127802
27,28,Mexico,4700000,3.79,124013861
28,29,Côte d'Ivoire,4600000,18.04,25493988
29,30,Rwanda,4500000,35.91,12531808
30,31,Egypt,4400000,4.24,103740765
31,32,Iran,4000000,4.67,85617562
32,33,Burkina Faso,3800000,18.63,20392723
33,34,Niger,3600000,15.95,22577058
34,35,South Africa,3500000,6.1,57339635
35,36,Malawi,3300000,17.97,18367883
36,37,Peru,3100000,9.63,32203944
37,38,Central African Republic,2800000,54.96,5094780
38,39,Cambodia,2600000,16.22,16025238
39,40,Guatemala,2600000,15.43,16850176
40,41,Nepal,2500000,8.77,28506712
41,42,Cameroon,2400000,9.57,25076747
42,43,Colombia,2400000,4.87,49276961
43,44,Saudi Arabia,2300000,6.57,35018133
44,45,Congo,2100000,38.6,5441062
45,46,Guinea,2100000,16.73,12554864
46,47,Argentina,2100000,4.73,44413596
47,48,Uzbekistan,2000000,6.16,32449576
48,49,Sierra Leone,1900000,24.17,7861281
49,50,Bolivia,1900000,16.37,11606905
50,51,Sri Lanka,1900000,8.8,21580710
51,52,Liberia,1800000,36.81,4889391
52,53,Senegal,1800000,11.56,15574909
53,54,Ghana,1600000,5.18,30870641
54,55,Algeria,1600000,3.82,41927007
55,56,Ukraine,1500000,3.37,44446954
56,57,Togo,1300000,16.16,8046679
57,58,Ecuador,1300000,7.64,17015672
58,59,Honduras,1200000,12.25,9792850
59,60,Jordan,1200000,11.47,10459865
60,61,Mali,1200000,6.02,19934298
61,62,Morocco,1200000,3.34,35927511
62,63,Nicaragua,1100000,16.74,6572233
63,64,Laos,1100000,15.48,7105006
64,65,Benin,1100000,9.21,11940683
65,66,Dominican Republic,1000000,9.29,10765531
66,67,Taiwan,800000,3.37,23726185
67,68,Malaysia,800000,2.47,32399271
68,69,Namibia,700000,29.1,2405680
69,70,Lebanon,700000,11.76,5950839
70,71,Paraguay,700000,10.86,6443328
71,72,Botswana,600000,24.48,2451409
72,73,El Salvador,600000,9.56,6276342
73,74,Guinea-Bissau,500000,25.97,1924955
74,75,Mauritania,500000,11.71,4270712
75,76,Serbia,500000,6.73,7433818
76,77,Tunisia,500000,4.19,11933041
77,78,Chile,500000,2.67,18701450
78,79,Mongolia,400000,12.64,3163991
79,80,Panama,400000,9.6,4165255
80,81,Kyrgyzstan,400000,6.43,6223494
81,82,Eswatini,300000,25.85,1160428
82,83,Timor-Leste,300000,23.77,1261845
83,84,Lesotho,300000,13.65,2198017
84,85,Georgia,300000,7.95,3772325
85,86,Oman,300000,6.52,4601157
86,87,Turkmenistan,300000,4.95,6065066
87,88,Bulgaria,300000,4.22,7117431
88,89,Djibouti,200000,18.92,1057198
89,90,Gabon,200000,9.12,2192012
90,91,Gambia,200000,8.18,2444916
91,92,Albania,200000,6.95,2877013
92,93,Jamaica,200000,7.11,2811835
93,94,Costa Rica,200000,3.97,5040734
94,95,Slovakia,200000,3.67,5446745
95,96,United Arab Emirates,200000,2.19,9140169
96,97,Armenia,100000,3.53,2836557
97,98,Kuwait,100000,2.32,4317185
98,99,Dominica,50000,70.6,70823
99,100,St. Vincent & Grenadines,50000,47.49,105281
100,101,Kiribati,50000,40.9,122261
101,102,Samoa,50000,23.84,209701
102,103,Sao Tome & Principe,50000,23.66,211344
103,104,Barbados,50000,17.88,279688
104,105,New Caledonia,50000,17.55,284880
105,106,Vanuatu,50000,16.82,297298
106,107,French Polynesia,50000,16.8,297606
107,108,Belize,50000,13.09,382066
108,109,Brunei ,50000,11.51,434274
109,110,Maldives,50000,10.21,489758
110,111,Cabo Verde,50000,8.75,571202
111,112,Solomon Islands,50000,7.58,659249
112,113,Macao,50000,7.68,650991
113,114,Suriname,50000,8.42,593715
114,115,Guyana,50000,6.37,785514
115,116,Fiji,50000,5.44,918996
116,117,Estonia,50000,3.78,1322148
117,118,Cyprus,50000,4.1,1218831
118,119,Mauritius,50000,3.86,1295381
119,120,Trinidad and Tobago,50000,3.32,1504709
120,121,North Macedonia,50000,2.37,2113491
